SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Better Than,Lake Street Dive,,Soul,2010s,"C, G, Am, F, C/E, Dm",6
Blank Static Screen,VersaEmerge,,Rock,2000s,"C, Am, F, G, Dm, G/B",6
Blasphemy,Bring Me The Horizon,,Elect,2010s,"Am, F, C, G/B, G, Dm",6
Break Me Down,Tenth Avenue North,,Pop,2000s,"Am, F, G, C, Dm, C/E",6
Break Up Day,The Starting Line,,Rock,2010s,"C, Am, Dm, G/B, G, F",6
Broken White Line,Kris Delmhorst,,Folk,2000s,"C, F, G/B, G, Am, C/E",6
Butterfly Wings,Owl City,,Elect,2000s,"C, Dm, F, G, Am, C/E",6
California,Yellowcard,,Rock,2010s,"C, F, Am, G, C/E, G/B",6
Can't Find My Way,Hardline,,Rock,1990s,"C, Am, F, G, Dm, G/B",6
Combinado,Danilo Dyba,,Folk,2010s,"C, G, F, Dm, Em/G, Am",6
Come Alive,Lauren Daigle,,Pop,2010s,"Am, F, Dm, G, C, C/E",6
Come Alive (Dry Bones),Lauren Daigle,,Pop,2010s,"Am, F, Dm, G, C, C/E",6
Come However You Are,City Harbor,,Pop,2010s,"C, G/B, Am, F, Dm, G",6
Come Running Back,Us The Duo,,Pop,2010s,"C, Dm, F, Am, G, G/B",6
Como Eu Amei,Victor e Leo,,Folk,2010s,"Am, F, G, C, G/B, Dm",6
Control,Name Taken,,Rock,2000s,"C, F, G, Am, Dm, C/E",6
Country Cool,The Henningsens,,Pop,2010s,"C, F, Am, G, C/E, G/B",6
Dammit,Blink 182,,Rock,1990s,"C, G, Am, F, Dm, C/E",6
Daydream,Miranda Cosgrove,,Elect,2010s,"C, G, Am, F, Dm, G/B",6
Deixaria Tudo,Leonardo,,Folk,2000s,"Dm, G, C, F, G/B, Am",6
De Mão em Mão,Mafalda Veiga,,Rock,2000s,"C, F, Am, Dm, G/B, G",6
Desperate People,Hillsong United,,Rock,2000s,"F, Am, C, G, Dm, G/B",6
Dig Two Graves,Randy Travis,,Folk,2000s,"C, G/B, Am, G, F, Dm",6
Dont Give Up,Peter Gabriel,,Rock,1980s,"Am, C, G, Dm, C/E, F",6
Draw Me Nearer,Gareth Robinson,,Pop,2010s,"C, F, Am, G/B, C/E, G",6
Drive To The End,Slick Shoes,,Rock,2000s,"C, C/E, G, F, Dm, Am",6
Drown,Bring Me the Horizon,,Rock,2010s,"F, Am, C/E, G, G/B, C",6
Enkeli Varjoisan Maan,Jippu,,Soul,2010s,"C, F, G/B, G, Am, Dm",6
Enough,Delta Goodrem,,Pop,2010s,"Dm, C, G, F, Am, C/E",6
Eternity,Newport,,Rock,2010s,"Am, F, C, G, Dm, C/E",6
Eu Gosto de Você,Gustavo Mioto,,Folk,2010s,"C, Am, F, G/B, Dm, G",6
