SONG,ARTIST,VID,GENRE,DECADE,Chords,#
As Darkness Falls,Maggie Reilly,,Rock,1990s,"Em, Am, F, C",4
Asylums For The Feeling,Silent Poets,,HipHop,2010s,"Am, Em, F, C",4
Attraction,Nine Black Alps,,Rock,2000s,"Am, F, Em, C",4
Banker And A Liar,Reigning Sound,,Rock,2000s,"Am, C, Em, F",4
Bankrupt On Selling,Modest Mouse,,Rock,1990s,"C, Am, Em, F",4
Bei Dir,Cro,,Pop,2010s,"Am, Em, F, C",4
Better Days,Pete Murray,,Folk,2000s,"F, C, Em, Am",4
Big Jet Plane,Angus And Julia Stone,,Pop,2010s,"C, Am, Em, F",4
Bitchslut,Anna Wise,,Rock,2010s,"C, Em, Am, F",4
Black Angus,Wendy McNeill,,Folk,2000s,"Am, F, C, Em",4
Bleed Well,HIM,,Rock,2000s,"Am, F, C, Em",4
Blind Sight,Ryan Cabrera,,Rock,2000s,"Am, F, C, Em",4
Blood Of The Lamb,Billy Bragg,,Rock,2000s,"Am, Em, F, C",4
Blue Mountain,Brandon Heath,,Rock,2010s,"Am, Em, F, C",4
,,,,,,
