SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Ill Be Your Mirror,The Velvet Underground,,Rock,1990s,"C, F, G, Dm",4
Ill Never Love Again,Taio Cruz,,Pop,2000s,"Dm, F, C, G",4
Imitation Of Life,R.E.M.,,Rock,2000s,"Dm, F, C, G",4
Inside Information,Foreigner,,Rock,1980s,"Dm, C, G, F",4
Into My Arms,Nick Cave,,Rock,1990s,"G, C, F, Dm",4
I Was Here,Beyoncé,,Soul,2010s,"Dm, F, C, G",4
King Of My Heart,Taylor Swift,,Elect,2010s,"C, G, Dm, F",4
Last Goodbye,Kesha,,Pop,2010s,"F, C, G, Dm",4
Living Proof,Bruce Springsteen,,Rock,1990s,"C, F, G, Dm",4
Liza Radley,The Jam,,Rock,1980s,"C, G, Dm, F",4
London Queen,Charli XCX,,Rock,2010s,"C, F, Dm, G",4
Lullaby,Nickelback,,Rock,2010s,"Dm, F, C, G",4
Never Be The Same,Camila Cabello,,Pop,2010s,"C, G, Dm, F",4
New Love,Backstreet Boys,,Elect,2000s,"C, F, Dm, G",4
Next Contestant,Nickelback,,Rock,2000s,"Dm, F, C, G",4
No Pressure,Justin Bieber,,Elect,2010s,"Dm, F, C, G",4
On Top Of The World,Imagine Dragons,,Pop,2010s,"C, F, Dm, G",4
Packt Like Sardines In A Crushd Tin Box,Radiohead,,Rock,2000s,"Dm, C, G, F",4
