SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Thank God I Found You,Mariah Carey,,Pop,1990s,"C, Am, F, G",4
The Lazy Song,Bruno Mars,,Soul,2010s,"C, G, Am, F",4
Till The World Ends,Britney Spears,,Pop,2010s,"Am, F, C, G",4
Tim McGraw,Taylor Swift,,Folk,2000s,"C, Am, F, G",4
Under The Bridge,Red Hot Chili Peppers,,Rock,1990s,"C, G, Am, F",4
Until The End Of Time,Justin Timberlake,,Pop,2000s,"Am, F, C, G",4
Viva La Vida,Coldplay,,Rock,2000s,"F, G, C, Am",4
We Are Never Ever Getting Back Together,Taylor Swift,,Rock,2010s,"F, C, G, Am",4
We Found Love,Rihanna,,Pop,2010s,"Am, F, C, G",4
Whatcha Say,Jason Derulo,,Soul,2000s,"Am, G, F, C",4
Whatever It Is,Zac Brown Band,,Folk,2000s,"C, G, Am, F",4
