SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Ain't No Sunshine,Bill Withers,,Soul,1970s,"Am, Em, Dm",3
Spiders, System of a Down,,Metal,1990s,"Cm, Bb, Ab, G, C#, E",6
505,Arctic Monkeys,,Rock,2000s,"Am,Em,Dm",3
Love That Burns,Fleetwood Mac,,Rock,1960s,"Am, Dm, Em",3
No More Trouble,Bob Marley,,Carib,1970s,"Am, Dm, Em",3
Fallin,Alicia Keys,,HipHop,2000s,"Am, Dm, Em",3
Like The 309,Johnny Cash,,Folk,2000s,"Am, Dm, Em",3
Little Sparrow,Dolly Parton,,Folk,2000s,"Am, Dm, Em",3
Me Enamoré,Shakira,,Rock,2010s,"Am, Dm, Em",3
